λ,Φ,ΔΦ,species
304.19,0.899,NaN,O(1D)
304.32,0.895,NaN,O(1D)
304.69,0.884,NaN,O(1D)
305.01,0.868,NaN,O(1D)
305.25,0.856,NaN,O(1D)
305.5,0.849,NaN,O(1D)
305.63,0.841,NaN,O(1D)
305.82,0.837,NaN,O(1D)
306.07,0.837,NaN,O(1D)
306.38,0.837,NaN,O(1D)
306.57,0.845,NaN,O(1D)
306.88,0.837,NaN,O(1D)
307.07,0.825,NaN,O(1D)
307.26,0.813,NaN,O(1D)
307.75,0.767,NaN,O(1D)
307.88,0.759,NaN,O(1D)
308.13,0.728,NaN,O(1D)
308.69,0.685,NaN,O(1D)
309.06,0.639,NaN,O(1D)
309.37,0.592,NaN,O(1D)
309.62,0.542,NaN,O(1D)
309.86,0.487,NaN,O(1D)
310.17,0.453,NaN,O(1D)
310.42,0.425,NaN,O(1D)
310.8,0.375,NaN,O(1D)
311.17,0.34,NaN,O(1D)
311.73,0.336,NaN,O(1D)
312.05,0.332,NaN,O(1D)
312.36,0.328,NaN,O(1D)
312.67,0.316,NaN,O(1D)
312.98,0.293,NaN,O(1D)
313.23,0.281,NaN,O(1D)
313.42,0.289,NaN,O(1D)
313.8,0.305,NaN,O(1D)
314.05,0.308,NaN,O(1D)
314.17,0.308,NaN,O(1D)
314.36,0.32,NaN,O(1D)
314.49,0.308,NaN,O(1D)
314.55,0.289,NaN,O(1D)
314.74,0.273,NaN,O(1D)
314.99,0.254,NaN,O(1D)
315.24,0.246,NaN,O(1D)
315.49,0.254,NaN,O(1D)
315.68,0.266,NaN,O(1D)
315.8,0.254,NaN,O(1D)
315.99,0.269,NaN,O(1D)
316.37,0.277,NaN,O(1D)
316.62,0.265,NaN,O(1D)
316.86,0.25,NaN,O(1D)
317.11,0.238,NaN,O(1D)
317.36,0.223,NaN,O(1D)
317.49,0.211,NaN,O(1D)
317.55,0.223,NaN,O(1D)
317.8,0.234,NaN,O(1D)
317.99,0.234,NaN,O(1D)
318.12,0.25,NaN,O(1D)
318.37,0.257,NaN,O(1D)
318.56,0.253,NaN,O(1D)
318.81,0.257,NaN,O(1D)
319.06,0.25,NaN,O(1D)
319.12,0.238,NaN,O(1D)
319.31,0.226,NaN,O(1D)
319.37,0.215,NaN,O(1D)
319.62,0.215,NaN,O(1D)
319.81,0.203,NaN,O(1D)
319.99,0.195,NaN,O(1D)
320.18,0.199,NaN,O(1D)
320.31,0.199,NaN,O(1D)
320.56,0.195,NaN,O(1D)
320.75,0.195,NaN,O(1D)
320.93,0.183,NaN,O(1D)
321.12,0.187,NaN,O(1D)
321.31,0.172,NaN,O(1D)
321.49,0.16,NaN,O(1D)
321.68,0.152,NaN,O(1D)
321.75,0.156,NaN,O(1D)
321.99,0.137,NaN,O(1D)
322.18,0.137,NaN,O(1D)
322.37,0.133,NaN,O(1D)
322.56,0.125,NaN,O(1D)
322.93,0.121,NaN,O(1D)
323.12,0.125,NaN,O(1D)
323.37,0.121,NaN,O(1D)
323.56,0.133,NaN,O(1D)
323.69,0.136,NaN,O(1D)
323.94,0.121,NaN,O(1D)
324.25,0.117,NaN,O(1D)
324.37,0.113,NaN,O(1D)
324.5,0.109,NaN,O(1D)
324.69,0.113,NaN,O(1D)
324.87,0.097,NaN,O(1D)
324.94,0.09,NaN,O(1D)
325.12,0.086,NaN,O(1D)
325.31,0.09,NaN,O(1D)
325.5,0.09,NaN,O(1D)
325.75,0.093,NaN,O(1D)
326.0,0.097,NaN,O(1D)
326.25,0.101,NaN,O(1D)
326.44,0.105,NaN,O(1D)
326.63,0.113,NaN,O(1D)
326.82,0.113,NaN,O(1D)
327.07,0.105,NaN,O(1D)
327.32,0.097,NaN,O(1D)
327.57,0.101,NaN,O(1D)
327.76,0.085,NaN,O(1D)
327.88,0.074,NaN,O(1D)
328.01,0.078,NaN,O(1D)
328.32,0.081,NaN,O(1D)
328.51,0.097,NaN,O(1D)
328.76,0.101,NaN,O(1D)
328.95,0.105,NaN,O(1D)
304.19,0.899,NaN,O2
304.32,0.895,NaN,O2
304.69,0.884,NaN,O2
305.01,0.868,NaN,O2
305.25,0.856,NaN,O2
305.5,0.849,NaN,O2
305.63,0.841,NaN,O2
305.82,0.837,NaN,O2
306.07,0.837,NaN,O2
306.38,0.837,NaN,O2
306.57,0.845,NaN,O2
306.88,0.837,NaN,O2
307.07,0.825,NaN,O2
307.26,0.813,NaN,O2
307.75,0.767,NaN,O2
307.88,0.759,NaN,O2
308.13,0.728,NaN,O2
308.69,0.685,NaN,O2
309.06,0.639,NaN,O2
309.37,0.592,NaN,O2
309.62,0.542,NaN,O2
309.86,0.487,NaN,O2
310.17,0.453,NaN,O2
310.42,0.425,NaN,O2
310.8,0.375,NaN,O2
311.17,0.34,NaN,O2
311.73,0.336,NaN,O2
312.05,0.332,NaN,O2
312.36,0.328,NaN,O2
312.67,0.316,NaN,O2
312.98,0.293,NaN,O2
313.23,0.281,NaN,O2
313.42,0.289,NaN,O2
313.8,0.305,NaN,O2
314.05,0.308,NaN,O2
314.17,0.308,NaN,O2
314.36,0.32,NaN,O2
314.49,0.308,NaN,O2
314.55,0.289,NaN,O2
314.74,0.273,NaN,O2
314.99,0.254,NaN,O2
315.24,0.246,NaN,O2
315.49,0.254,NaN,O2
315.68,0.266,NaN,O2
315.8,0.254,NaN,O2
315.99,0.269,NaN,O2
316.37,0.277,NaN,O2
316.62,0.265,NaN,O2
316.86,0.25,NaN,O2
317.11,0.238,NaN,O2
317.36,0.223,NaN,O2
317.49,0.211,NaN,O2
317.55,0.223,NaN,O2
317.8,0.234,NaN,O2
317.99,0.234,NaN,O2
318.12,0.25,NaN,O2
318.37,0.257,NaN,O2
318.56,0.253,NaN,O2
318.81,0.257,NaN,O2
319.06,0.25,NaN,O2
319.12,0.238,NaN,O2
319.31,0.226,NaN,O2
319.37,0.215,NaN,O2
319.62,0.215,NaN,O2
319.81,0.203,NaN,O2
319.99,0.195,NaN,O2
320.18,0.199,NaN,O2
320.31,0.199,NaN,O2
320.56,0.195,NaN,O2
320.75,0.195,NaN,O2
320.93,0.183,NaN,O2
321.12,0.187,NaN,O2
321.31,0.172,NaN,O2
321.49,0.16,NaN,O2
321.68,0.152,NaN,O2
321.75,0.156,NaN,O2
321.99,0.137,NaN,O2
322.18,0.137,NaN,O2
322.37,0.133,NaN,O2
322.56,0.125,NaN,O2
322.93,0.121,NaN,O2
323.12,0.125,NaN,O2
323.37,0.121,NaN,O2
323.56,0.133,NaN,O2
323.69,0.136,NaN,O2
323.94,0.121,NaN,O2
324.25,0.117,NaN,O2
324.37,0.113,NaN,O2
324.5,0.109,NaN,O2
324.69,0.113,NaN,O2
324.87,0.097,NaN,O2
324.94,0.09,NaN,O2
325.12,0.086,NaN,O2
325.31,0.09,NaN,O2
325.5,0.09,NaN,O2
325.75,0.093,NaN,O2
326.0,0.097,NaN,O2
326.25,0.101,NaN,O2
326.44,0.105,NaN,O2
326.63,0.113,NaN,O2
326.82,0.113,NaN,O2
327.07,0.105,NaN,O2
327.32,0.097,NaN,O2
327.57,0.101,NaN,O2
327.76,0.085,NaN,O2
327.88,0.074,NaN,O2
328.01,0.078,NaN,O2
328.32,0.081,NaN,O2
328.51,0.097,NaN,O2
328.76,0.101,NaN,O2
328.95,0.105,NaN,O2
