Rxn #,Reactant,,,Product,,,A1,A2,A3,300 OR 308
1,O2+,O2,,O4+,,,,,,
2,O2+,NO,,NO,O2,,,,,
3,O2+,N,,NO+,O,,,,,
4,O4+,O,,O2+,O3,,,,,
5,O4+,H2O,,O2+.H2O,O2,,,,,
6,O2+.H2O,H2O,,H3O+.OH,O2,,,,,
7,O2+.H2O,H2,,H3O+,OH,O2,,,,
8,H+(H2O),H2O,,H+(H2O)2,,,,,,
9,H+(H2O)2,M,,H+(H2O),H2O,M,,,,
10,H+(H2O)2,H2O,,H+(H2O)3,,,,,,
11,H+(H2O)3,M,,H+(H2O)2,H2O,M,,,,
12,H+.(H2O)3,H2O,,H+.(H2O)4,,,,,,
13,H+.(H2O)4,M,,H+.(H2O)3,H2O,M,,,,
14,H3O+.OH,H2O,,H+(H2O)2,OH,,,,,
15,NO+,H2O,,NO+.H2O,,,,,,
16,NO+,CO2,,NO+.CO2,,,,,,
17,NO+,N2,,NO+.N2,,,,,,
18,NO+.CO2,M,,NO+,CO2,M,,,,
19,NO+.CO2,H2O,,NO+.H2O,CO2,,,,,
20,NO+.N2,M,,NO+,N2,M,,,,
21,NO+.N2,CO2,,NO+.CO2,N2,,,,,
22,NO+.H2O,H2O,,NO+.(H2O)2,,,,,,
23,NO+.H2O,CO2,,NO+.H2O.CO2,,,,,,
24,NO+.H2O,N2,,NO+.H2O.N2,,,,,,
25,NO+.(H2O)2,H2O,,NO+.(H2O)3,,,,,,
26,NO+.(H2O)2,CO2,,NO+.(H2O)2.CO2,,,,,,
27,NO+.(H2O)2,N2,,NO+.(H2O)2.N2,,,,,,
28,NO+.(H2O)3,H2O,,H+.(H2O)3,HNO,,,,,
29,NO+.H2O.CO2,M,,NO+.H2O,CO2,M,,,,
30,NO+.H2O.CO2,H2O,,NO+.(H2O)2,CO2,,,,,
31,NO+.H2O.N2,M,,NO+.H2O,N2,M,,,,
32,NO+.(H2O)2.CO2,M,,NO+.(H2O)2,CO2,M,,,,
33,NO+.(H2O)2.CO2,H2O,,NO+(H2O)3,CO2,,,,,
34,NO+.H2O.N2,CO2,,NO+.H2O.CO2,N2,,,,,
35,NO+.(H2O)2.N2,M,,NO+.(H2O)2,N2,M,,,,
36,NO+.(H2O)2.N2,CO2,,NO+.(H2O)2.CO2,N2,,,,,
